index,timestamp,width,height,frame_id,filename,angle,speed
1970-01-01 00:36:00.439,2160439000000,1280,720,openmv_cam/camera__link,center/2160439000000.jpg,0.0,0.0
1970-01-01 00:36:00.473,2160473000000,1280,720,openmv_cam/camera__link,center/2160473000000.jpg,0.0,0.0
1970-01-01 00:36:00.508,2160508000000,1280,720,openmv_cam/camera__link,center/2160508000000.jpg,0.0,0.0
1970-01-01 00:36:00.574,2160574000000,1280,720,openmv_cam/camera__link,center/2160574000000.jpg,0.0,0.0
1970-01-01 00:36:00.639,2160639000000,1280,720,openmv_cam/camera__link,center/2160639000000.jpg,0.0,0.0
1970-01-01 00:36:00.673,2160673000000,1280,720,openmv_cam/camera__link,center/2160673000000.jpg,0.0,0.0
1970-01-01 00:36:00.707,2160707000000,1280,720,openmv_cam/camera__link,center/2160707000000.jpg,0.0,0.0
1970-01-01 00:36:00.774,2160774000000,1280,720,openmv_cam/camera__link,center/2160774000000.jpg,0.0,0.0
1970-01-01 00:36:00.839,2160839000000,1280,720,openmv_cam/camera__link,center/2160839000000.jpg,0.0,0.0
1970-01-01 00:36:00.873,2160873000000,1280,720,openmv_cam/camera__link,center/2160873000000.jpg,0.0,0.0
1970-01-01 00:36:00.939,2160939000000,1280,720,openmv_cam/camera__link,center/2160939000000.jpg,0.0,0.0
1970-01-01 00:36:00.973,2160973000000,1280,720,openmv_cam/camera__link,center/2160973000000.jpg,0.0,0.0
1970-01-01 00:36:01.039,2161039000000,1280,720,openmv_cam/camera__link,center/2161039000000.jpg,0.0,0.0
1970-01-01 00:36:01.074,2161074000000,1280,720,openmv_cam/camera__link,center/2161074000000.jpg,0.0,0.0
1970-01-01 00:36:01.139,2161139000000,1280,720,openmv_cam/camera__link,center/2161139000000.jpg,0.0,0.0
1970-01-01 00:36:01.173,2161173000000,1280,720,openmv_cam/camera__link,center/2161173000000.jpg,0.0,0.0
1970-01-01 00:36:01.207,2161207000000,1280,720,openmv_cam/camera__link,center/2161207000000.jpg,0.0,0.0
1970-01-01 00:36:01.273,2161273000000,1280,720,openmv_cam/camera__link,center/2161273000000.jpg,0.0,0.0
1970-01-01 00:36:01.307,2161307000000,1280,720,openmv_cam/camera__link,center/2161307000000.jpg,0.0,0.0
1970-01-01 00:36:01.373,2161373000000,1280,720,openmv_cam/camera__link,center/2161373000000.jpg,0.0,0.0
1970-01-01 00:36:01.439,2161439000000,1280,720,openmv_cam/camera__link,center/2161439000000.jpg,0.0,0.0
1970-01-01 00:36:01.473,2161473000000,1280,720,openmv_cam/camera__link,center/2161473000000.jpg,0.0,0.0
1970-01-01 00:36:01.507,2161507000000,1280,720,openmv_cam/camera__link,center/2161507000000.jpg,0.0,0.0
1970-01-01 00:36:01.573,2161573000000,1280,720,openmv_cam/camera__link,center/2161573000000.jpg,0.0,0.0
1970-01-01 00:36:01.607,2161607000000,1280,720,openmv_cam/camera__link,center/2161607000000.jpg,0.0,0.0
1970-01-01 00:36:01.641,2161641000000,1280,720,openmv_cam/camera__link,center/2161641000000.jpg,0.0,0.0
1970-01-01 00:36:01.706,2161706000000,1280,720,openmv_cam/camera__link,center/2161706000000.jpg,0.0,0.0
1970-01-01 00:36:01.773,2161773000000,1280,720,openmv_cam/camera__link,center/2161773000000.jpg,0.0,0.0
1970-01-01 00:36:01.839,2161839000000,1280,720,openmv_cam/camera__link,center/2161839000000.jpg,0.0,0.0
1970-01-01 00:36:01.874,2161874000000,1280,720,openmv_cam/camera__link,center/2161874000000.jpg,0.0,0.0
1970-01-01 00:36:01.940,2161940000000,1280,720,openmv_cam/camera__link,center/2161940000000.jpg,0.0,0.0
1970-01-01 00:36:02.006,2162006000000,1280,720,openmv_cam/camera__link,center/2162006000000.jpg,0.0,0.0
1970-01-01 00:36:02.074,2162074000000,1280,720,openmv_cam/camera__link,center/2162074000000.jpg,0.0,0.0
1970-01-01 00:36:02.139,2162139000000,1280,720,openmv_cam/camera__link,center/2162139000000.jpg,0.0,0.0
1970-01-01 00:36:02.173,2162173000000,1280,720,openmv_cam/camera__link,center/2162173000000.jpg,0.0,0.0
1970-01-01 00:36:02.239,2162239000000,1280,720,openmv_cam/camera__link,center/2162239000000.jpg,0.0,0.0
1970-01-01 00:36:02.273,2162273000000,1280,720,openmv_cam/camera__link,center/2162273000000.jpg,0.0,0.0
1970-01-01 00:36:02.307,2162307000000,1280,720,openmv_cam/camera__link,center/2162307000000.jpg,0.0,0.0
1970-01-01 00:36:02.373,2162373000000,1280,720,openmv_cam/camera__link,center/2162373000000.jpg,0.0,0.0
1970-01-01 00:36:02.439,2162439000000,1280,720,openmv_cam/camera__link,center/2162439000000.jpg,0.0,0.0
1970-01-01 00:36:02.473,2162473000000,1280,720,openmv_cam/camera__link,center/2162473000000.jpg,0.0,0.0
1970-01-01 00:36:02.507,2162507000000,1280,720,openmv_cam/camera__link,center/2162507000000.jpg,0.0,0.0
1970-01-01 00:36:02.573,2162573000000,1280,720,openmv_cam/camera__link,center/2162573000000.jpg,0.0,0.0
1970-01-01 00:36:02.639,2162639000000,1280,720,openmv_cam/camera__link,center/2162639000000.jpg,0.0,0.0
1970-01-01 00:36:02.673,2162673000000,1280,720,openmv_cam/camera__link,center/2162673000000.jpg,0.0,0.0
